curriculum,run_seed,trained_steps,checkpoint_kind,group,mean_return,mean_success,mean_length
joint,2,350000,mid,training_like,232.55947429868905,0.975,358.275
joint,2,400000,mid,training_like,243.27177127761615,0.975,316.0625
joint,2,500000,final,training_like,247.45211992342706,0.9875,310.8375
joint,3,100000,mid,training_like,-11.812389284677845,0.95,454.0
joint,3,200000,mid,training_like,-24.820682592440622,0.28750000000000003,934.15
joint,3,250000,mid,training_like,223.95929133188537,0.9374999999999999,400.83750000000003
joint,3,350000,mid,training_like,240.79619386555248,0.9624999999999999,323.3
joint,3,400000,mid,training_like,241.05853447784597,0.9875,284.96250000000003
joint,3,500000,final,training_like,248.76518113682437,0.9625,310.175
joint,4,100000,mid,training_like,-174.09372664062934,0.525,684.05
joint,4,200000,mid,training_like,91.59001786794715,0.7749999999999999,825.3125
joint,4,250000,mid,training_like,199.50163270775874,0.9375,372.2375
joint,4,350000,mid,training_like,235.18353351583107,0.9624999999999999,359.0
joint,4,400000,mid,training_like,230.89847624742725,0.9624999999999999,277.2125
joint,4,500000,final,training_like,238.91870263448664,0.9875,266.2
joint,5,100000,mid,training_like,-145.08127535714436,0.48750000000000004,756.075
joint,5,200000,mid,training_like,-29.31719982366045,0.1625,979.075
joint,5,250000,mid,training_like,208.32861853598945,0.9875,400.95000000000005
joint,5,350000,mid,training_like,215.98296662979024,0.9375,356.0625
joint,5,400000,mid,training_like,240.01516867788257,0.9624999999999999,306.975
joint,5,500000,final,training_like,233.5848015760967,0.9875,289.275
joint,6,100000,mid,training_like,-190.34089684930075,0.1,914.4375
joint,6,200000,mid,training_like,157.66035309517846,0.8500000000000001,601.125
joint,6,250000,mid,training_like,167.40653520138665,0.95,385.25
joint,6,350000,mid,training_like,222.0309790987378,0.9125,435.32500000000005
joint,6,400000,mid,training_like,238.82972685676162,0.9375,337.1
joint,6,500000,final,training_like,247.8966832562428,0.9624999999999999,300.5
joint,7,100000,mid,training_like,-144.28534420277623,0.18750000000000003,897.0374999999999
joint,7,200000,mid,training_like,-66.87242842573497,0.025,998.1
joint,7,250000,mid,training_like,204.56197252758008,1.0,425.35
joint,7,350000,mid,training_like,222.96517283836727,0.95,383.73750000000007
joint,7,400000,mid,training_like,236.07570789734365,0.9624999999999999,343.45
joint,7,500000,final,training_like,236.4717734346429,0.9624999999999999,363.3
joint,8,100000,mid,training_like,-182.51094711062115,0.3625,710.4125
joint,8,200000,mid,training_like,-77.66802734770985,0.0,1000.0
joint,8,250000,mid,training_like,203.60173344836244,0.9624999999999999,432.7375
joint,8,350000,mid,training_like,220.35388822825453,0.9249999999999999,290.8
joint,8,400000,mid,training_like,227.5991707342814,0.8625,349.93749999999994
joint,8,500000,final,training_like,231.23787676566303,0.9624999999999999,256.425
joint,9,100000,mid,training_like,-108.00526719997957,0.1625,871.1624999999999
joint,9,200000,mid,training_like,147.61112750372075,0.975,596.6125
joint,9,250000,mid,training_like,183.03711909764937,0.9750000000000001,295.0375
joint,9,350000,mid,training_like,229.28643166309467,0.925,337.92499999999995
joint,9,400000,mid,training_like,231.56720227561792,0.9625,267.1125
joint,9,500000,final,training_like,233.59308502156495,0.9500000000000001,283.125
param,0,100000,mid,training_like,-243.23237213562214,0.25,828.125
param,0,200000,mid,training_like,147.46158869443212,0.85,668.9625000000001
param,0,225000,mid,training_like,202.91507967159797,0.95,468.15
param,0,325000,mid,training_like,225.7319871994754,0.95,346.65
param,0,350000,mid,training_like,236.9556982279019,0.9875,244.1125
param,0,450000,mid,training_like,244.9314722536374,1.0,286.53749999999997
param,0,500000,final,training_like,247.84424458858837,0.9875,282.6125
param,1,100000,mid,training_like,-194.60265785071374,0.7625,545.2249999999999
param,1,200000,mid,training_like,-66.87921895615945,0.075,967.0625
param,1,225000,mid,training_like,119.08214331042305,0.95,422.78749999999997
param,1,325000,mid,training_like,187.3155487991186,0.95,421.8125
param,1,350000,mid,training_like,230.58097322202832,1.0,327.8875
param,1,450000,mid,training_like,243.30784719017268,1.0,321.1875
param,1,500000,final,training_like,251.23262268667693,0.975,289.5625
param,2,100000,mid,training_like,-227.37861046207317,0.55,648.7375
param,2,200000,mid,training_like,52.105664096091985,0.38749999999999996,937.2375
param,2,225000,mid,training_like,209.8232479987764,0.8875,412.61250000000007
param,2,325000,mid,training_like,224.92420407759312,0.9624999999999999,391.08750000000003
param,2,350000,mid,training_like,247.945932565624,0.9750000000000001,270.825
param,2,450000,mid,training_like,249.55644452032237,1.0,231.85000000000002
param,2,500000,final,training_like,253.49188791517224,0.9624999999999999,241.67499999999998
param,3,100000,mid,training_like,-11.812389284677845,0.95,454.0
param,3,200000,mid,training_like,-40.29538427121571,0.08750000000000001,988.325
param,3,225000,mid,training_like,161.66509811429938,0.9624999999999999,342.51250000000005
param,3,325000,mid,training_like,200.7172702944796,0.9249999999999999,356.075
param,3,350000,mid,training_like,210.54423105900187,0.9,356.5
param,3,450000,mid,training_like,220.0365440415526,0.95,272.0125
param,3,500000,final,training_like,214.21340904619024,1.0,208.9375
param,4,100000,mid,training_like,-174.09372664062934,0.525,684.05
param,4,200000,mid,training_like,-65.99997858618937,0.0,1000.0
param,4,225000,mid,training_like,176.5401812621678,0.9249999999999999,629.4499999999999
param,4,325000,mid,training_like,220.78059271260213,0.9249999999999999,343.975
