curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,mean_return,mean_success,mean_length
joint,2,3,75000,98304,mid,generalization_combined,-261.43390212698114,0.7166666666666666,528.8666666666666
joint,2,4,100000,131072,mid,generalization_combined,-194.366516966064,0.43333333333333335,723.0833333333333
joint,2,5,125000,163840,mid,generalization_combined,-140.39758266721554,0.25,784.0999999999999
joint,2,6,150000,196608,mid,generalization_combined,-69.79134946985042,0.15,942.5666666666666
joint,2,7,175000,229376,mid,generalization_combined,75.33634030554867,0.8999999999999999,662.1
joint,2,8,200000,262144,mid,generalization_combined,79.553776610037,0.8833333333333333,661.9666666666667
joint,2,9,225000,294912,mid,generalization_combined,107.08468559356751,0.8333333333333334,689.0
joint,2,10,250000,327680,mid,generalization_combined,137.65904014936172,0.9833333333333334,445.8833333333333
joint,2,11,275000,360448,mid,generalization_combined,144.84806910600827,0.95,341.0
joint,2,12,300000,393216,mid,generalization_combined,151.37449840859665,0.9666666666666666,398.8666666666667
joint,2,13,325000,425984,mid,generalization_combined,138.4217589247939,0.8500000000000001,500.81666666666666
joint,2,14,350000,458752,mid,generalization_combined,152.42734835273018,0.95,464.51666666666665
joint,2,15,375000,491520,mid,generalization_combined,170.87029822394803,0.9833333333333334,418.94999999999993
joint,2,16,400000,524288,mid,generalization_combined,156.82329654565268,0.9666666666666667,423.40000000000003
joint,2,17,425000,557056,mid,generalization_combined,190.11615870640185,0.9833333333333334,369.26666666666665
joint,2,18,450000,589824,mid,generalization_combined,198.06891402862198,0.9666666666666666,385.65
joint,2,19,475000,622592,mid,generalization_combined,195.37901574985932,0.9166666666666666,371.26666666666677
joint,2,20,500000,655360,final,generalization_combined,221.62960344535637,0.9666666666666667,338.305
joint,3,1,25000,32768,mid,generalization_combined,-16.065686676230804,1.0,141.21666666666667
joint,3,2,50000,65536,mid,generalization_combined,-48.28980791207478,0.9833333333333334,243.96666666666667
joint,3,3,75000,98304,mid,generalization_combined,-22.163275590811786,0.9833333333333334,304.6333333333333
joint,3,4,100000,131072,mid,generalization_combined,-43.376008868146336,0.9833333333333334,441.3166666666667
joint,3,5,125000,163840,mid,generalization_combined,-10.276046271090667,0.75,747.5666666666666
joint,3,6,150000,196608,mid,generalization_combined,-34.83184714678177,0.3,889.8
joint,3,7,175000,229376,mid,generalization_combined,0.32146188438437084,0.4666666666666667,833.3500000000001
joint,3,8,200000,262144,mid,generalization_combined,111.72919580892054,0.9666666666666667,579.3833333333334
joint,3,9,225000,294912,mid,generalization_combined,65.81230961875953,0.95,517.5
joint,3,10,250000,327680,mid,generalization_combined,117.70943205992147,0.9,428.05
joint,3,11,275000,360448,mid,generalization_combined,147.33810369818218,1.0,360.4666666666667
joint,3,12,300000,393216,mid,generalization_combined,178.00362821277238,0.8999999999999999,366.9166666666667
joint,3,13,325000,425984,mid,generalization_combined,189.14167558038793,0.9666666666666667,395.46666666666664
joint,3,14,350000,458752,mid,generalization_combined,186.76021748744955,0.9666666666666667,315.45000000000005
joint,3,15,375000,491520,mid,generalization_combined,164.3008340925422,0.9833333333333334,270.2166666666667
joint,3,16,400000,524288,mid,generalization_combined,164.37183239762408,0.95,291.81666666666666
joint,3,17,425000,557056,mid,generalization_combined,169.6930901970997,0.9833333333333334,280.95
joint,3,18,450000,589824,mid,generalization_combined,181.52332601060792,0.95,267.20000000000005
joint,3,19,475000,622592,mid,generalization_combined,157.0921624650148,0.9666666666666667,299.4
joint,3,20,500000,655360,final,generalization_combined,201.85917949315115,0.9416666666666667,304.5683333333333
joint,4,1,25000,32768,mid,generalization_combined,-195.51892932881844,0.9833333333333334,375.2166666666667
joint,4,2,50000,65536,mid,generalization_combined,-215.50374392056386,0.9333333333333332,433.0
joint,4,3,75000,98304,mid,generalization_combined,-189.11056921455406,0.6833333333333333,581.8166666666666
joint,4,4,100000,131072,mid,generalization_combined,-140.9043241420021,0.08333333333333334,926.9166666666667
joint,4,5,125000,163840,mid,generalization_combined,-121.08942483099631,0.10000000000000002,925.7833333333333
joint,4,6,150000,196608,mid,generalization_combined,-75.75205435157164,0.09999999999999999,951.95
